匕 bi3 "dagger; ladle"
箎 chi2 "bamboo flute with 8 holes"
箊 yu1 "bamboo with thin; wide leaves"
翣 sha4 "wooden fan carried in procession"
緁 jie2 "to join; to splice; to braid"
絓 kua1 "type of coarse silk; bag used to wrap silk before washing"
縏 pan2 "small bag; sack"
絓 gua4 "to hinder; to offend; to form; unique"
絍 ren4 "to weave; to lay warp for weaving"
絁 shi1 "rough, indelicate silk"
紾 zhen3 "crooked; obstinate; twist a cord"
紽 tuo2 "braid on a robe"
縚 tao1 "braid; cord; sash"
䌷 chou2 silk
紩 zhi4 "to stitch; to mend"
紟 jin1 "a sash; to tie"
紑 fou2 "bright; glossy (of silk)"
縡 zai4 "matter; affair"
糺 jiu3 "army (used during the liao, jin and yuan dynasties)"
縰 xi3 "band for the hair"
糱 nie4 "fermenting grain; yeast"
緅 zou1 "purple silk"
緆 xi1 "fine gunny; sackcloth"
綷 cui4 "five-color silk"
緌 rui2 "strings of cap"
緎 yu4 seam
綥 qi2 "dark gray; straw sandals"
綎 ting1 "silk braided cord"
綍 fu2 "heavy rope; ropes of a bier"
緤 xie4 "to tie; to bind"
綅 qin1 "red silk crest of helmet"
緪 geng1 "a rope"
絿 qiu2 "urgent; pressing"
絣 bing3 "ikat, a type of woven silk; kasuri"
缏 bian4 braid
縃 xu1 "fine silk"
絖 kuang4 "fine floss-silk or cotton"
䌸 zhuan4 "to tie up"
繠 rui3 "dangle; hang loosely"
缋 hui4 "multicolor; to draw"
繣 hua4 "obstinate; perverse"
籫 zuan3 "(literary) bamboo tube used to hold chopsticks or spoons"
繨 da2 "a knot (of a rope)"
籧 qu2 "crude bamboo mat"
籣 lan2 "bow case; quiver"
䉤 sou3 "basket for draining rice"
䍁 sui4 tassel
籓 fan1 "big winnow basket"
颣 lei4 "flaw; knot"
籊 ti4 "long bamboo (for fishing rod)"
簻 ke1 "big; hunger"
纑 lu2 "hempen thread; to dress hemp"
簬 lu4 (bamboo)
簨 sun3 "cross-beam for hanging bells"
糢 mo2 blurred
糔 xiu3 "to wash (rice etc)"
糆 mian4 "rice noodles; rice fragments"
縿 shan1 "fringe; ornament of banner"
粻 zhang1 "food; white cooked rice"
粔 ju4 "cakes made from rice flour twisted into rings"
粄 ban3 "(hakka cuisine) snacks made from glutinous rice flour (rice cakes, noodles etc)"
粁 qian1 kilometer
籹 nü3 "cakes of rice-flour and honey"
籸 shen1 "crushed grain"
繈 qiang3 "cloth for carrying baby on back"
繐 sui4 "fine and loose cloth; tassel"
籵 fan2 dm
繘 yu4 "a well-rope"
繙 fan1 "to translate"
籯 ying2 "slender basket for chopsticks"
膰 fan2 "cooked meat used in sacrifice"
膴 hu1 "big piece of meat; dried meat"
膵 cui4 pancreas
膷 xiang1 "hashed beef; soup"
臁 lian2 "sides of the lower part of the leg"
臄 jue2 "palate; sausage"
臇 juan3 "fat, rich; a stew of fish"
磭 chuo4 "big lip"
磪 cui1 "a high mountain; precipitous"
臐 xun1 "lamb soup"
臖 xing4 "to swell; swelling"
磥 lei3 "a heap of stones; boulders"
硵 lu3 "sal ammoniac"
臛 huo4 "(literary) meat broth"
磛 chan2 "cliff; peak"
磎 xi1 "mountain stream; creek"
礿 yue4 "spring imperial ancestral sacrifice"
礽 reng2 blessings
腶 duan4 "dried meat"
礲 long2 "to mill"
礧 lei4 "roll stone down hill; stone pile"
礤 ca3 "shredder; grater (kitchen implement for grating vegetables); grindstone"
膆 su4 "(literary) fat"
膇 zhui4 "swelling of foot"
膋 liao2 "fat on intestines"
礜 yu4 arsenic
膔 lu4 "sound of belly rumbling; borborygmus"
膗 chuai2 obese
礗 pin1 "sound of crushed stone"
膟 lü4 "sacrificial flesh"
膣 zhi4 vagina
膫 liao2 "name of a state during han dynasty; male genitals"
磈 wei3 "rocky; stony"
舨 ban3 sampan
砩 fei4 "dam up water with rocks"
砢 luo3 "a heap; pile (of rocks)"
砅 li4 "cross stream by stepping on stones"
砃 dan1 "white stone"
矷 zi3 "(a kind of stone)"
矱 yue1 "standard; norm"
舺 xia2 boat
艁 zao4 "to build; to invent; to manufacture"
矨 ying3 "short and small"
矟 shuo4 lance
艑 bian4 skiff
艕 bang4 "two boats fastened side by side"
艖 cha1 "raft; boat"
艗 yi4 "bow of a chinese boat"
艜 dai4 "a long narrow vessel with two masts"
碻 que4 "solid; firm"
臲 nie4 "tottering; unsteady"
臽 xian4 "hole in the ground"
碯 nao3 agate
臿 cha1 "to separate the grain from the husk"
碬 xia2 whetstone
碫 duan4 "coarse stone (used for whetstone)"
碞 yan2 cliff
碝 ruan3 "jade-like stone"
碔 wu3 "inferior gem; a kind of jade"
舋 xin4 "quarrel; dispute"
硾 zhui4 "iodide; to weight"
硻 keng1 obstinate
砳 le4 rocky
舡 gang1 "boat; ship"
砩 fu2 "name of a stone"
笓 pi2 "to comb; fine-toothed comb; trap for prawns"
窋 zhu2 "in a hole"
聝 guo2 "cut off the left ear of the slain"
窆 bian3 "to put a coffin in the grave"
穵 wa1 "to dig; to scoop out"
穮 biao1 "to weed"
穞 lü3 "wild grain"
穧 ji4 "stack grain stalks evenly"
肙 yuan1 "a small worm; to twist; to surround; empty"
穋 lu4 "late-planted early-ripening grain"
肰 ran2 "dog meat"
肵 jin4 table
穊 ji4 dense
穈 men2 "porridge; rice sprouts"
胊 qu2 yoke
胏 zi3 "dried meat with bone"
胑 zhi1 "wings of birds; legs of animals"
笐 gang1 "bamboos placed across wooden frames on which grain may be stored in damp climates"
耝 qu4 "to plow"
耞 jia1 "flail (for threshing grain)"
笎 yuan2 "bamboo with black patches"
耡 chu2 hoe
笉 qin3 "smiling countenance; bamboo rope"
笀 mang2 "arista (of grain)"
竁 cui4 "dig a hole"
窾 kuan3 "crack; hollow; cavity; to excavate or hollow out"
窾 cuan4 "to conceal; to hide"
耲 huai2 "(agriculture) to cultivate with a harrow"
窴 tian2 "fill in"
窞 dan4 "pit; cave"
窔 yao3 "dark; deep; southeast corner of room"
窌 jiao4 cellar
聎 tiao1 tinnitus
胔 zi4 "rotten meat; bones of dead animal"
禠 si1 "felicity; blessing"
脡 ting3 "brisket meat; straight"
脢 mei2 "meat on the back of an animal"
脤 shen4 "sacrificial meat (raw)"
脧 juan1 "(literary) to exploit; (literary) to reduce"
禜 yong3 sacrifice
禖 mei2 "heir-requesting sacrifice"
祦 wu2 happy
脰 dou4 "(literary) neck"
腄 chui2 "callus on the hand or foot; upper leg bone of horse or bird; buttocks"
腍 ren3 "be satiated; cooked; good-tasting"
禂 dao3 "to pray; prayer"
祫 xia2 "triennial sacrifice to ancestors"
腜 mei2 "quickening of the fetus"
祔 fu4 "worship ancestors"
祅 yao1 "evil spirit; goblin; witchcraft"
稛 kun3 full
稊 ti2 "grass; tares"
秷 zhi2 "sound of reaping"
秠 pi1 (millet)
胦 yang1 "the navel"
秜 ni4 "early-maturing rice"
秜 ni2 "self-sown rice"
秈 xian1 "common rice"
禸 rou2 trample
禴 yue4 "spring imperial ancestral sacrifice"
胹 er2 "overcooked; soft"
胻 heng2 "calf (lower leg)"
胾 zi4 "cut meat into pieces; diced meat"
禫 tan3 "sacrifice at the end of mourning"
禨 ji1 "omen; pray"
脝 heng1 "fat; bloated"
谉 shen3 "to investigate; to try (in court)"
豍 bi1 "pea (pisum sativum)"
豏 xian4 "half-grown beans"
栱 gong3 post
豖 chu4 "a shackled pig"
豗 hui1 "clash; grunting of pigs"
豜 jian1 "fully grown pig; 3-year old pig"
豝 ba1 "corned beef; female pig; sow"
豞 hou4 "grunting of pigs"
栭 er2 "tree mushroom"
豦 qu2 "a wild boar; to fight"
栫 jian4 "fence; palisade"
栘 yi2 "shadbush or shadberry (genus amelanchier); name for a stable during the han dynasty"
豭 jia1 "boar; male pig"
豱 wen1 "short-headed pig"
豵 zong1 "litter of pigs; little pig"
栔 qi4 "carve; cut"
讆 wei4 "to exaggerate; incredible"
讇 chan3 "to talk in one's sleep"
梲 zhuo2 "club (weapon); small pillar"
梩 li2 "basket for removing earth; spade"
梡 kuan3 "(tree); stand for sacrifice"
讘 nie4 "to talk nonsense"
梐 bi4 stockade
梍 zao4 "chinese honey locust (gleditsia sinensis)"
谽 han1 "a mouth or opening"
梊 di4 "squeeze out of; extract"
桭 zhen1 "eaves; space between two pillars"
豅 long2 "long and wide valley"
桋 yi2 (tree)
栵 li4 hedge
豊 li3 "ceremonial vessel"
豋 deng1 "ceremonial vessel"
豷 yi4 "breathing of pigs"
賝 chen1 (gem)
賥 sui4 "money and property"
枙 e4 "tree knot"
賨 cong2 "tribute paid by han dynasty tribes"
枓 dou3 "square base for chinese flagstaff"
賮 jin4 "farewell presents"
枒 ya2 "the coconut tree; rim"
賸 sheng4 "have as remainder"
枌 fen2 (tree)
枊 ang4 "(literary) post for tethering a horse"
杽 chou3 "a kind of wooden handcuffs"
杸 shu1 "to kill; a spear"
杶 chun1 (tree)
贉 tan3 "pay an advance; silk book cover"
杴 xian1 shovel
踼 tang2 "to fall flat; to fall on the face"
豻 an4 jail
豻 han4 (canine)
柸 pei1 "to hate; bear grudge"
柶 si4 "spoon; ladle"
柲 bi4 "weapon handle of bamboo strips"
貜 jue2 (ape)
貤 yi2 "to promote; to reward"
柮 duo4 "wood scraps"
柦 dan4 "a kind of wooden desk without legs"
柤 zha1 "(hawthorn); chaenomeles japonica"
柣 zhi2 threshold
柎 fu1 "calyx of flower"
賏 ying4 "pearls or shells strung together"
柅 ni3 "(tree); to stop"
枻 yi4 "oar; stand for correcting a bow"
枟 yun4 "wood streaks"
樏 lei3 "mountain-climbing shoes"
誧 pu3 "huge; to admonish"
槥 hui4 coffin
槢 xi2 "a hard wood"
榾 gu3 "scraps of wood"
榼 ke4 "pusaetha scandens"
諆 qi1 "to deceive; to cheat"
榦 gan4 "tree trunk"
榥 huang3 screen
榤 jie2 "a stump on which chickens roost"
諕 hao2 "to intimidate"
榡 su4 "quercus dentata"
榠 ming2 "chinese quince"
榀 pin3 "classifier for roof beams and trusses"
楰 yu2 (tree)
諵 nan2 "mumble in repetition"
楬 jie2 "a peg; tally; score"
詨 jiao1 "kind of cicada, cosmopsaltria"
樎 su4 manger
樆 li2 "rowan or mountain ash (genus sorbus)"
樆 chi1 "manjack or cordia (genus cordia)"
詻 e4 "harsh; forbidding"
槾 man2 (tree)
槻 gui1 "zelkova tree"
誂 tiao3 "to tempt"
誃 chi3 "to separate"
槺 kang1 "empty space inside a building"
槵 huan4 "soapberry (order sapindales)"
椮 sen1 "lush growth (trees)"
楢 you2 "quercus glandulifera"
椊 zuo2 "to fit a handle into a socket; a plug or cork"
譅 se4 "talkative; loquacious"
譈 dui4 "dislike; hate"
譊 nao2 "wrangling, contention, to dispute"
椈 ju2 "fagus sylvatica"
譒 bo4 "to promulgate; to spread"
椄 jie1 "to graft"
棳 zhuo2 "small pillars that support the roof, those which rest on the main beam"
棯 ren3 "jujube tree"
棩 yuan1 "crooked (tree)"
譩 yi1 "to belch"
棜 yu4 "tray for carrying sacrificial meats"
棑 pai2 "raft; shield; stern of junk"
譶 ta4 "to talk fast"
诪 zhou1 "(literary) to curse; to deceive; to lie"
譹 hao2 "to shout; to roar; to terrify; swiftly"
楟 ting2 tree
謆 shan4 "to beguile; to cajole"
楛 ku3 "broken utensil"
謋 huo4 "sound of flesh being separated from the bone"
謍 ying2 "humming sound"
楛 hu4 (tree)
謑 xi4 "shame; disgrace"
楘 mu4 "ornaments on chariot-shaft"
楎 hun2 clothes-horse
楅 bi4 "ox yoke placed on the horns"
謦 qi4 "cough slightly"
謪 shang1 "to consult; to deliberate; commerce"
椵 jia3 (grapefruit)
椳 wei1 "the pivots, at the top and bottom of a chinese door, on which the door turns"
謷 ao2 "greatness; slander; sound of weeping"
謼 hu1 "to shout; to mourn; to invoke"
敃 min3 "strong; robust; vigorous"
敁 dian1 "to weigh in the hand, to estimate; to shake"
躄 bi4 "both feet crippled; lame"
攴 pu1 "to tap; to knock lightly"
攲 qi1 "up; uneven"
攧 dian1 "to fall; to stamp (one's foot); to toss; to throw"
攐 qian1 "to lift up the skirts"
攋 la4 "to destroy; to rip; to tear open"
攃 sa4 preceding
攂 lei2 "to beat"
㧰 lüe4 "to pound"
擸 lie4 "to hold, to grasp; to hold the hair; to pull at"
躗 wei4 "to exaggerate; to fabricate; falsehood"
躙 lin4 "to oppress; to overrun"
擩 ru3 "to stain; to dye"
擣 dao3 "stir; to pound"
斸 zhu3 cut
斨 qiang1 axe
斢 tiao3 "to replace"
斒 ban1 "variegated; striped; marbled"
斁 yi4 "to be weary of"
敿 jiao3 "tie up (laces)"
敹 liao2 "keep tidy and repaired; sew"
敳 ai2 "able (in administrating); to govern forcefully"
敪 duo2 "to weigh; to cut; to come without being invited"
敧 qi3 "to pick up thing with chopsticks or pincers."
敜 nie4 "to fill up or cover up a hole"
蹝 xi3 slippers
蹠 zhi2 "metatarsus; sole of foot; to tread on"
蹡 qiang1 "(manner of walking)"
敇 chi4 "imperial command or edict"
蹪 tui2 "to stumble; to fall"
躠 xie4 "to limp"
撢 dan3 "to dust"
撚 nian3 "to play tricks on or toy with; delicate"
撋 ruan2 "to rub between the hands"
撊 xian4 "valiant; wrathful"
軿 ping2 "curtained carriage used by women; to gather together; to assemble"
輀 er2 hearse
摷 jiao3 "to knock; strike"
摲 shan4 "to cut down; mow"
摰 nie4 "to seize with the hand; to grasp; to advance; to breakdown"
摮 ao2 "(literary) to hit; to strike; to smite"
摦 hua4 "wide; broad"
摠 zong3 "general; in every case; to hold"
摙 lian3 "to transport; to remove to take"
輠 guo3 "grease-pot under a cart"
輤 qian4 "a pall to cover the hearse"
摓 feng2 "wide; to sew"
躣 qu2 "(manner of walking)"
擖 ge3 scrape
躧 xi3 "shoe; to step"
躩 jue2 "bend; leap"
擉 chuo4 "to pierce; to break through"
撽 qiao4 "to beat with a stick; to hit from the side"
撱 tuo3 "clip; shorten; throw away"
撧 jue1 "to break off; to snap"
軖 kuang2 "spinning wheel; wheelbarrow"
軘 tun2 "war chariot"
軜 na4 "inner reins of a 4-horse team"
軥 qu2 "ends of yoke"
軨 ling2 "lattice work on front and sides"
軭 kuang1 "to spoil (cant.); to ruin; to warp (car wheel)"
軱 gu1 "big bone"
軷 ba2 sacrifice
杝 yi2 (tree)
朠 ying1 "color of the moon"
朘 juan1 "(literary) to reduce; (literary) to exploit"
趷 ke1 "to jolt"
趹 jue2 "to gallop"
朅 qie4 "to leave; to abandon"
朁 can3 "if, supposing, nevertheless"
跁 pa2 "to squat; crouch"
曚 meng2 "twilight before dawn"
曘 ru2 "color of the sun; dark"
曑 shen1 (constellation)
曀 yi4 "obscure; sun hidden by clouds"
跅 tuo4 careless
暠 gao3 "bright; white"
跍 ku1 "to squat"
暔 nan2 "name of a country"
暍 he4 hot
贕 du2 "still-born chick (in unhatched egg)"
赩 xi4 "red; scarlet"
杗 mang2 "ridge-pole in roof"
杇 wu1 "to plaster; whitewash"
赯 tang2 "red; crimson"
赸 shan4 "to jump; to leave"
杅 yu2 "bowl; tub"
朿 ci4 stab
趐 xue4 "to fly"
朾 ting2 "to bump"
趒 tiao2 "to jump; to climb over; to leap; to posture; a gangway"
朣 tong2 "light from the rising moon"
趡 cui3 "place name"
趦 zi1 "unable to move"
趫 qiao2 "nimble; walk on stilts"
趮 zao4 "easily provoked, hasty; fierce, cruel"
跕 die2 shuffle
旼 min2 "gentle and affable"
旡 ji4 "choke on something eaten"
旟 yu2 "banner with falcons; mussed up hair"
踖 ji2 "to step; walk reverently"
踘 ju1 "leather ball"
踜 leng4 "to stumble; to slip; to fall"
旝 kuai4 "(literary) standard; banner (raised for battle); (literary) catapult, or a rock launched by a catapult"
旛 fan1 pennant
踠 wan3 "ankle; fetlock; bent; crooked"
踡 quan2 "to curl up"
旓 shao1 "serrated edges on a chinese flag"
踤 cu4 "to butt against"
踥 qie4 "to walk with small steps"
斿 you2 "scallops along lower edge of flag"
踧 cu4 "carefully; level; smooth"
斾 pei4 banner
跙 ju3 "weak, lame"
暋 min3 "(literary) rude and unreasonable"
暋 min2 "unhappy; worried; depressed"
跦 zhu1 "pace back and forth; to walk"
跧 quan2 "to curl up; to crouch"
跫 qiong2 "sound of footsteps"
跮 chi4 "hasty walking"
暆 yi2 "(of the sun) declining"
跲 jia2 "to stumble"
跼 ju2 "cramped; narrow"
晳 xi1 "light-complexioned; fair-skinned"
晬 zui4 "1st birthday of a child"
晜 kun1 "descendant; elder brother"
踆 qun1 squat
晑 xiang3 "bright; clear"
昑 qin3 bright
澃 jiong3 clear
螀 jiang1 "cicada (cosmopsaltria opalifera)"
蟅 zhe4 "locust; chinese ground beetle (eupolyphaga sinensis)"
滮 biao1 "flowing of water"
滊 xie1 "saline pond"
蟓 xiang4 silkworm
滊 xi4 "name of a river"
蟜 jiao3 (insect)
蟢 xi3 (spider)
溾 wei1 "light rain"
溤 ma3 "name of a river"
蟨 jue2 "siberian jerboa"
溛 wa1 "to form hollow; pit"
蟭 jiao1 "eggs of mantis"
溎 gui4 "name of a river"
蟳 xun2 "(hairy sea-crab)"
湱 huo4 "dashing of waves"
螒 han4 "aulacophora femoralis"
螓 qin2 "small cicada with a square head"
螘 yi3 ant
螚 nai4 "eristalis tenax"
潠 xun4 "spurt out of the mouth"
潝 xi1 "to agree"
㴋 xiao1 "sound of rain and wind"
潗 ji2 "friendly; harmonious"
潎 pi4 "rippling; pour"
潀 cong2 "gather; flow into (water); sound of waters flowing together"
漰 peng1 "noise of dashing waves"
漜 ye3 mud
漙 tuan2 "heavy dew"
漘 chun2 shore
漎 cong2 "a place where small streams flow into a large one"
螾 yin3 "the earthworm"
蟷 dang1 mantis
淢 yu4 "moat; swift current"
蠩 zhu1 "a toad"
蠮 ye1 "wasp of the family sphecidae"
蠰 shang4 "cerambyx rugicollis"
淓 fang1 "name of a river"
蠵 xi1 "large turtles"
蠸 quan2 "aulacophora femoralis"
蠽 jie2 "small green cicada"
衁 huang1 blood
淊 yan1 "to flood"
衈 er4 "the blood of a sacrificial fowl which was sprinkled on doors and vessels"
衉 ke4 "to vomit"
淂 de2 (river)
涷 dong1 rainstorm
涬 xing4 "watery expanse"
襌 dan1 "garment without a lining"
蟺 shan4 earthworm
蟿 qi4 "(insect); tryxalis masuta"
蚃 xiang4 larvae
蠂 she4 "podisma mikado"
湩 dong4 "milk; sound of a drum"
蠉 xuan1 "wriggler; mosquito larva; to crawl; to worm along"
湢 bi4 "public bathhouse"
湅 lian4 "to boil raw silk (to soften and clean it)"
渮 ge1 "place name"
渨 wei1 "cove; bay; a bend or nook in the hills; the curve of a bow"
蠗 zhuo2 "(ape); (shell)"
蠚 he1 "to sting"
蠛 mie4 "minute flies"
蠜 fan2 "cyrtophyllus sp."
渧 di4 "to drop, as liquids; a drop"
淰 nian3 "calm water"
煠 ye4 "to fry in fat or oil; to scald"
烳 pu3 "to travel by the light of torch"
蚳 chi2 "ant eggs"
蚹 fu4 "scales on the belly of a snake, aiding locomotion; snail; to crawl"
烗 kai4 "to burn; to blaze"
蚻 zha2 "aphrophora martima"
蚿 xian2 millipede
蛁 diao1 "pomponia maculatiocollis"
蛅 ran2 "a caterpillar"
烓 wei1 "three-cornered stove"
烋 xiao1 "to boil or fumigate"
炾 huang3 "bright and spacious"
蛓 ci4 "(literary) caterpillar"
炴 yang3 "firelight; blaze"
炰 pao2 "to roast"
蛚 lie4 "cyrtoxiphus ritsemae"
蛜 yi1 woodlouse
煝 mei4 "be radiant; flaming; drought"
煚 jiong3 fire
煐 ying1 "british thermal unit (btu)"
煍 jiao3 "to color by smoke"
煇 hui1 "bright; glorious"
煆 ya1 "raging fire"
蚔 qi2 green-frog
蚖 yuan2 "protura (soil dwelling primitive hexapod); newt; triton"
蚛 zhong4 "(literary) (of a worm or insect) to nibble; to bite; worm-eaten"
煆 xia1 "a raging fire"
蚡 fen2 (mole)
焮 xin4 "heat; flame; inflammation"
焠 cui4 "to temper (as steel)"
焟 xi1 dry
焄 xun1 "fumes from sacrifice"
焃 he4 "fiery; bright"
炁 qi4 "air; steam; gas; weather"
蝃 di4 rainbow
瀁 yang4 ripples
蝍 ji2 "a centipede"
蝒 mian2 "large, black cicada; locust"
濲 gu3 "name of a river in hunan"
蝝 yuan2 "locust larva without wings"
濔 mi3 "many; numerous"
濊 hui4 "vast; expansive (as of water)"
濈 ji2 many
濇 se4 "grating (of surfaces)"
澰 lian4 "(literary) to moisten; to wet; to soak in water"
澬 zi1 "to rain continuously"
澨 shi4 "bank; shore; name of a river"
澔 hao4 "grand; vast (of water)"
澒 hong4 "vast; infinite"
澐 yun2 "river waves"
蛡 yi4 "hive; honeycomb"
蛣 jie2 beetle
灺 xie4 "candle stub"
灴 hong2 "to bake, to roast; to dry at a fire"
灪 yu4 "(literary) (of waves) huge"
灥 xun2 "a group of springs"
蜅 fu3 crab
灢 nang3 "muddy; thick, muddy water"
灖 mi3 "(used to describe flowing water)"
灒 zan4 "to spatter, to splash, to scatter"
灉 yong1 "name of a river; sluice"
瀺 chan2 "sound of water"
蜑 dan4 "tanka people"
蜛 ju1 "hydrophilus cognatus"
瀳 jian4 "to arrive (of water)"
瀡 sui3 slippery
欶 shuo4 "to suck; to drink"
覗 si1 peek
欵 kuan3 "to treat well; to detain"
覜 tiao4 "have an audience"
欬 kai4 "to cough"
觍 tian3 "shameful; shameless"
欨 xu1 "(literary) to blow or breathe upon; happy"
欙 lei2 sedan
欑 zan4 gather
欐 li4 beam
欃 chan2 "sandalwood (santalum album), a nepalese tree producing valuable fragrant oil; comet"
欀 xiang1 "inner lining of wooden utensils; component beam used in building construction"
櫜 gao1 "weapon case"
觝 di3 "to butt; resist"
觡 ge2 "horns; antlers"
櫌 you1 harrow
襛 nong2 "bright light; warm dress"
歁 kan3 "unsatisfied (of eating)"
襡 shu2 "short skirt or tunic"
襢 zhan4 "unadorned but elegant dress"
欿 kan3 "discontented with oneself"
欼 chi3 drink
䙓 bai3 "hem at the bottom of garment"
襭 xie2 "carry with the front of a robe"
襮 bo2 "embroidered collar; expose"
襶 dai4 "untidy (in dress)"
欷 xi1 "to sob"
襼 yi4 "sleeve of dress"
襽 lan2 brocade
襾 ya4 "cover; radical no 146"
覂 feng3 "to throw a rider"
覅 fiao4 "must not; please don't"
檵 ji4 "fringe flower (loropetalum chinense), evergreen shrub"
訧 you2 "fault; mistake"
訬 chao1 "clamor; uproar; annoyance"
訹 xu4 "to beguile with false stories"
橃 fa2 "large boat"
橁 xun2 "fraxinus bungeana"
椫 zhan3 (wood)
