我,wo3,i; me; my
雪线,xue3xian4,snow line
雪耳,xue3er3,snow fungus (tremella fuciformis); white fungus
雪花,xue3hua1,snowflake
雪茄,xue3jia1,cigar (loanword)
雪莱,xue3lai2,shelley
雪葩,xue3pa1,sorbet (loanword)
雪莲,xue3lian2,snow lotus herb; saussurea involucrata
雪藏,xue3cang2,to keep sth in cold storage; (fig.) to suspend a performer or sports player (as punishment); to keep sb or sth out of sight until the right moment (e.g. a key player on a sports team)
雪蟹,xue3xie4,snow crab (chionoecetes opilio)
雪豹,xue3bao4,snow leopard
雪貂,xue3diao1,ferret
雪酪,xue3lao4,sherbet; sorbet
雪青,xue3qing1,lilac (color)
雪鞋,xue3xie2,snowshoes
雪顿,xue3dun4,"lhasa shoton festival or yogurt banquet, from first of july of tibetan calendar"
云吞,yun2tun1,wonton
云室,yun2shi4,cloud chamber (physics)
云层,yun2ceng2,the clouds; cloud layer; cloud bank
云彩,yun2cai5,(coll.) cloud
云朵,yun2duo3,a cloud
云杉,yun2shan1,spruce
云梯,yun2ti1,escalade
云母,yun2mu3,mica
云气,yun2qi4,mist
云沙,yun2sha1,"muscovite, mica (used in tcm); muscovitum"
云液,yun2ye4,"muscovite, mica (used in tcm); muscovitum"
云涌,yun2yong3,in large numbers; in force; lit. clouds bubbling up
云烟,yun2yan1,mist; smoke; cloud
云珠,yun2zhu1,"muscovite, mica (used in tcm); muscovitum"
云石,yun2shi2,marble
云端,yun2duan1,high in the clouds; (computing) the cloud
云芝,yun2zhi1,turkey tail mushroom (trametes versicolor)
云英,yun2ying1,"muscovite, mica (used in tcm); muscovitum"
云华,yun2hua2,"muscovite, mica (used in tcm); muscovitum"
云豹,yun2bao4,clouded leopard (neofelis nebulosa)
云游,yun2you2,to wander (typically of an errant priest)
云阳,yun2yang2,"yunyang county in wanzhou suburbs of north chongqing municipality, formerly in sichuan"
云集,yun2ji2,to gather (in a crowd); to converge; to swarm
云雨,yun2yu3,lit. cloud and rain; fig. sexual intercourse
云霄,yun2xiao1,(the) skies
云雾,yun2wu4,clouds and mist
云霭,yun2ai3,floating clouds
云头,yun2tou2,cloud
云鬓,yun2bin4,"a woman's beautiful, thick hair"
零乱,ling2luan4,in disorder; a complete mess
零吃,ling2chi1,(coll.) snack food
零和,ling2he2,"zero-sum (game, in economics etc)"
零嘴,ling2zui3,nibbles; snacks between meals
零工,ling2gong1,temporary job; odd job
零度,ling2du4,zero degree
零担,ling2dan1,less-than-truck-load freight (ltl) (transportation)
零散,ling2san3,scattered
零数,ling2shu4,the part of a number which is discarded when rounding down
零族,ling2zu2,lit. zero group
零日,ling2ri4,"zero-day (attack, vulnerability etc) (computing)"
零星,ling2xing1,fragmentary; random; bits and pieces; sporadic
零时,ling2shi2,midnight; zero hour
零用,ling2yong4,incidental expenses; sundries; pocket money
零的,ling2de5,small change
零碎,ling2sui4,scattered and fragmentary; scraps; odds and ends
零落,ling2luo4,withered and fallen; scattered; sporadic
零号,ling2hao4,(slang) bottom (in a homosexual relationship)
零买,ling2mai3,to buy detail; to buy one at a time
零杂,ling2za2,bit and pieces; small odds and ends
零头,ling2tou2,odd; scrap; remainder
零点,ling2dian3,midnight; (math.) zero of a function
雷人,lei2ren2,(internet slang) shocking; appalling; terrifying; terrific
雷公,lei2gong1,"lei gong or duke of thunder, the god of thunder in chinese mythology"
雷区,lei2qu1,minefield (lit. and fig.)
雷子,lei2zi5,(slang) cop
雷恩,lei2en1,rennes
雷击,lei2ji1,lightning strike; thunderbolt
雷暴,lei2bao4,thunderstorm
雷曼,lei2man4,lehman or leymann (name)
雷管,lei2guan3,detonator; fuse
雷声,lei2sheng1,thunder
雷盖,lei2gai4,reggae (loanword)
雷诺,lei2nuo4,"reynolds (name); renault (french car company); reno, nevada"
雷轰,lei2hong1,sound of thunder
雷达,lei2da2,radar (loanword)
雷雨,lei2yu3,thunderstorm
雷电,lei2dian4,thunder and lightning
雷霆,lei2ting2,sound of thunder
雷鬼,lei2gui3,reggae (loanword)
雷鸟,lei2niao3,"capercaillie (lagopus, several species); thunderbird (in native american mythology)"
雷鸣,lei2ming2,thunder rolls
雷龙,lei2long2,apatosaurus; former name: brontosaurus
雹块,bao2kuai4,hailstone
雹子,bao2zi5,hail; hailstone
雹暴,bao2bao4,hailstorm
雹灾,bao2zai1,disaster caused by hail
电位,dian4wei4,electric potential; voltage
电传,dian4chuan2,"to send information using electronic means (such as fax, telegram, telex etc); a message transmitted using electronic means; telex; teleprinter"
电价,dian4jia4,price of electricity
电光,dian4guang1,electric light; lightning; electro-optical
电刑,dian4xing2,to torture sb using electricity; electrocution (capital punishment)
电匠,dian4jiang4,electrician
电汇,dian4hui4,telegraphic transfer (tt)
电告,dian4gao4,"to inform by telegraph, telephone etc"
电唁,dian4yan4,a telegraph condolence; to send a message of condolence by telegram
电唱,dian4chang4,gramophone; record player
电场,dian4chang3,electric field
电塔,dian4ta3,electricity pylon; transmission tower
电压,dian4ya1,voltage
电子,dian4zi3,electronic; electron (particle physics)
电学,dian4xue2,electrical engineering
电容,dian4rong2,capacitance
电导,dian4dao3,electrical conductance
电工,dian4gong1,electrician; electrical engineering; electrical work (in a house)
电厂,dian4chang3,electric power plant
电弧,dian4hu2,electric arc
电感,dian4gan3,inductance
电扇,dian4shan4,electric fan
电抗,dian4kang4,reactance
电控,dian4kong4,electric control
电击,dian4ji1,electric shock
电木,dian4mu4,bakelite (early plastic)
电杆,dian4gan1,electric pole; telephone pole
电杆,dian4gan3,electric pole; telegraph pole
电棒,dian4bang4,(coll.) flashlight; hair iron
电椅,dian4yi3,electric chair (used to execute criminals)
电极,dian4ji2,electrode
电枪,dian4qiang1,stun gun; taser
电机,dian4ji1,electrical machinery
电死,dian4si3,to electrocute; to die from an electric shock
电气,dian4qi4,electricity; electric; electrical
电波,dian4bo1,electric wave; alternating current
电泳,dian4yong3,electrophoresis
电洞,dian4dong4,electron hole (physics)
电流,dian4liu2,electric current
电浆,dian4jiang1,plasma (physics)
电焊,dian4han4,electric welding
电热,dian4re4,electrical heating
电炉,dian4lu2,electric stove; hot plate
电玩,dian4wan2,video game
电珠,dian4zhu1,light bulb
电瓶,dian4ping2,accumulator; battery (for storing electricity)
电疗,dian4liao2,electrotherapy
电眼,dian4yan3,"beautiful, expressive eyes"
电磁,dian4ci2,electromagnetic
电磨,dian4mo4,electric mill (for grinding wheat etc)
电站,dian4zhan4,a power station; an electricity generating plant
电竞,dian4jing4,video gaming (as a sport)
电筒,dian4tong3,flashlight
电箱,dian4xiang1,circuit box
电缆,dian4lan3,(electric) cable
电能,dian4neng2,electrical energy
电荒,dian4huang1,shortage of electricity
电荷,dian4he4,electric charge
电表,dian4biao3,power meter; ammeter; amperemeter; wattmeter; kilowatt-hour meter
电解,dian4jie3,electrolysis
电路,dian4lu4,electric circuit
电邮,dian4you2,email
电量,dian4liang4,quantity of electric charge or current
电钮,dian4niu3,push button (electric switch)
电锯,dian4ju4,electric saw (esp. electric chain saw)
电锤,dian4chui2,rotary hammer; hammer drill
电镀,dian4du4,electroplating; electroplated
电键,dian4jian4,electric key; switch
电铲,dian4chan3,power shovel
电钻,dian4zuan4,electric drill
电门,dian4men2,electric switch
电闪,dian4shan3,lightning flashes
电闸,dian4zha2,electric switch; circuit breaker
电阻,dian4zu3,(electrical) resistance
电离,dian4li2,ion; ionized (e.g. gas)
电震,dian4zhen4,electric shock; electroshock
电音,dian4yin1,electronic music (genre)
电驿,dian4yi4,relay (electronics)
电鳗,dian4man2,electric eel
霄汉,xiao1han4,the sky; the heavens; (fig.) imperial court
震中,zhen4zhong1,earthquake epicenter
震区,zhen4qu1,earthquake area
震怒,zhen4nu4,to be furious
震悚,zhen4song3,(literary) to tremble with fear; to shock
震情,zhen4qing2,circumstances of an earthquake
震惶,zhen4huang2,to terrify
震感,zhen4gan3,tremors (from an earthquake)
震栗,zhen4li4,trembling; to shiver with fear
震慑,zhen4she4,to awe; to intimidate
震昏,zhen4hun1,to knock out (of a jolt from an earthquake or crash)
震波,zhen4bo1,seismic wave
震源,zhen4yuan2,epicenter (of earthquake); hypocenter
震灾,zhen4zai1,earthquake damage
震荡,zhen4dang4,to shake up; to jolt; to vibrate; to oscillate; to fluctuate; to vibrate; to shake; to shudder
震级,zhen4ji2,degree of earthquake (on magnitude scale)
震耳,zhen4er3,ear-splitting
震聋,zhen4long2,to deafen
震蛋,zhen4dan4,love egg (sex toy)
震觉,zhen4jue2,perception of tremor
震音,zhen4yin1,tremolo
震响,zhen4xiang3,trembling sound; vibration
震颤,zhen4chan4,to tremble; to quiver
震骇,zhen4hai4,to astonish; to horrify
霉气,mei2qi4,a moldy smell; damp and rotten; fig. rotten bad luck
霉烂,mei2lan4,mold; rot
霉病,mei2bing4,mildew; fungal growth
霉素,mei2su4,teichomycin; -mycin
霉菌,mei2jun1,mold
霉蠹,mei2du4,to become mildewed and worm-eaten (of books); to mildew and rot
霉运,mei2yun4,ill luck; misfortune
霉雨,mei2yu3,asian rainy season; monsoon
霍丘,huo4qiu1,huoqiu (place in anhui)
霍德,huo4de2,ford (name)
霍然,huo4ran2,suddenly; quickly
霍尔,huo4er3,hall (name)
霍赛,huo4sai4,jose (name)
霍金,huo4jin1,hawkins or hawking
霍顿,huo4dun4,"hotton, holden, wharton, houghton etc (name)"
霎时,sha4shi2,in a split second
霎眼,sha4yan3,to blink; in an instant; in the twinkle of an eye
霎霎,sha4sha4,chilly air; cold wind
霓虹,ni2hong2,rainbow; neon (loanword)
霜冻,shuang1dong4,frost; frost damage (to crop)
霜天,shuang1tian1,freezing weather; frosty sky
霜害,shuang1hai4,frostbite; frost damage (to crop)
霜晨,shuang1chen2,frosty morning
霜条,shuang1tiao2,popsicle
霜灾,shuang1zai1,frost damage (to crop)
霜白,shuang1bai2,frosty
霜花,shuang1hua1,frost forming a pattern on a surface; rime
霜雪,shuang1xue3,frost and snow; (fig.) snowy white (hair); adversity
霜露,shuang1lu4,frost and dew; fig. difficult conditions
霞光,xia2guang1,multicolored sunlight of sunrise or sunset
霞径,xia2jing4,a misty path; the path of the daoist immortals
霢霂,mai4mu4,(literary) drizzling rain; (fig.) dripping sweat
雾件,wu4jian4,vaporware
雾凇,wu4song1,rime; hoarfrost
雾幔,wu4man4,fog; mist
雾气,wu4qi4,fog; mist; vapor
雾灯,wu4deng1,fog lights (of a motor vehicle)
雾锁,wu4suo3,fogbound; enshrouded in mist
雾霾,wu4mai2,haze; smog
雾霭,wu4ai3,mist
露出,lu4chu1,to expose; to show
露宿,lu4su4,to sleep outdoors; to spend the night in the open
露富,lou4fu4,to show one's wealth; to let one's wealth show
露底,lou4di3,to let out a secret
露怯,lou4qie4,to display one's ignorance; to make a fool of oneself by an ignorant blunder
露水,lu4shui3,dew; fig. short-lasting; ephemeral
露营,lu4ying2,to camp out; camping
露珠,lu4zhu1,dewdrop
露白,lou4bai2,to reveal one's valuables inadvertently; to betray one's silver (money) when traveling
露相,lou4xiang4,to show one's true colors
露背,lou4bei4,halterneck; backless (garment)
露脸,lou4lian3,to show one's face; to make one's good name; to become successful and well known; to shine
露台,lu4tai2,balcony; patio; flat roof; terrace; deck (unroofed platform); outdoor stage
露苗,lou4miao2,(young sprouts) come out
露茜,lu4xi1,lucy (from the narnia chronicles)
露袒,lu4tan3,exposed; uncovered; naked
露西,lu4xi1,lucy
露丑,lou4chou3,to make a fool of oneself
露韩,lu4han2,to expose; to reveal
露头,lou4tou2,to show one's head; to give a sign to show one's presence
露风,lou4feng1,to divulge a secret; to leak
露馅,lou4xian4,to leak; to expose (sb's secret); to spill the beans; to let the cat out of the bag
露骨,lu4gu3,"blatant; unsubtle; frank; (of sex, violence etc) explicit"
露体,lu4ti3,naked
露点,lu4dian3,dew point; (coll.) (of a woman) to expose one of the three areas (nipples and genitals)
露齿,lu4chi3,to grin
霸主,ba4zhu3,overlord; hegemon
霸凌,ba4ling2,bullying (loanword)
霸妻,ba4qi1,to use one's power and influence to take another man's wife for oneself
霸座,ba4zuo4,to willfully occupy sb else's seat
霸业,ba4ye4,the task of establishing and maintaining hegemony
霸权,ba4quan2,hegemony; supremacy
霸气,ba4qi4,imperious; aggressive; assertive; dictatorial manner; boldness
霸王,ba4wang2,hegemon; overlord; despot
霸县,ba4xian4,ba county in tianjin
霸道,ba4dao4,"the way of the hegemon; despotic rule; rule by might; overbearing; tyranny; (of liquor, medicine etc) strong; potent"
霹雷,pi1lei2,thunderbolt
霹雳,pi1li4,perak (state of malaysia); clap of thunder; thunderbolt; (slang) awesome; shocking; terrifying
霭滴,ai3di1,mist droplet
霭霭,ai3ai3,luxuriant (growth); numerous; cloudy; misty; snowing heavily
灵位,ling2wei4,memorial tablet
灵便,ling2bian4,quick; agile; nimble; easy to handle; handy
灵光,ling2guang1,divine light (around the buddha); a halo; a miraculous column of light
灵利,ling2li4,clever; bright; quick-witted
灵动,ling2dong4,to be quick-witted
灵命,ling2ming4,the will of heaven; the will of god
灵堂,ling2tang2,mourning hall; funeral hall
灵塔,ling2ta3,memorial pagoda
灵妙,ling2miao4,wonderful; ingenious
灵媒,ling2mei2,spirit medium
灵床,ling2chuang2,bier; bed kept as it was when the deceased was alive
灵快,ling2kuai4,agile; quick
灵性,ling2xing4,spiritual nature; spirituality; intelligence (esp. in animals)
灵怪,ling2guai4,a goblin; a spirit
灵恩,ling2en1,charismatic christianity
灵柩,ling2jiu4,coffin containing a corpse
灵棺,ling2guan1,a bier; a catafalque (memorial platform); a coffin
灵机,ling2ji1,sudden inspiration; bright idea; clever trick
灵气,ling2qi4,spiritual influence (of mountains etc); cleverness; ingeniousness
灵泛,ling2fan4,nimble; agile
灵牌,ling2pai2,spirit tablet; memorial tablet
灵犀,ling2xi1,"rhinoceros horn, reputed to confer telepathic powers; fig. mutual sensitivity; tacit exchange of romantic feelings; a meeting of minds"
灵界,ling2jie4,spiritual world
灵异,ling2yi4,deity; monster; strange; mysterious; supernatural
灵符,ling2fu2,a daoist talisman
灵芝,ling2zhi1,lingzhi or reishi mushroom (ganoderma lucidum)
灵药,ling2yao4,legendary magic potion of immortals; panacea; fig. wonder solution to a problem
灵语,ling2yu3,tongues (spiritual gift)
灵猫,ling2mao1,civet (arboreal cat); viverrid (mammal group including mongoose and civet)
灵车,ling2che1,hearse
灵醒,ling2xing3,"(of senses, mind etc) alert; keen; clear-minded"
灵长,ling2chang2,long life and prosperity
灵长,ling2zhang3,"primate (monkey, hominid etc)"
灵验,ling2yan4,efficacious; effective; (of a prediction) accurate; correct
灵体,ling2ti3,soul
叆叇,ai4dai4,(literary) heavy (clouds); eyeglasses
叆叆,ai4ai4,misty
青史,qing1shi3,annal; historical record
青天,qing1tian1,clear sky; blue sky; upright and honorable (official)
青山,qing1shan1,green hills; (the good) life
青岛,qing1dao3,"qingdao, subprovincial city in shandong"
青工,qing1gong1,young worker (esp of the ccp)
青旅,qing1lu:35,youth hostel
青松,qing1song1,pine tree
青枣,qing1zao3,blue or green jujube; chinese green date
青椒,qing1jiao1,capsicum annuum; green pepper
青楼,qing1lou2,(literary) brothel; pleasure quarters
青柠,qing1ning2,lime (fruit)
青浦,qing1pu3,qingpu suburban district of shanghai
青涩,qing1se4,underripe; (fig.) young and inexperienced
青瓜,qing1gua1,cucumber
青瓷,qing1ci2,celadon (pottery)
青白,qing1bai2,pale; pallor
青眼,qing1yan3,lit. (to look) with a direct gaze; fig. respect; favor
青睐,qing1lai4,(lit.) to fix one's gaze on; (fig.) to show interest in; (favorable) attention; favor
青石,qing1shi2,bluestone; limestone (colloquial)
青稞,qing1ke1,highland barley (grown in tibet and qinghai); qingke barley
青筋,qing1jin1,veins; blue veins
青紫,qing1zi3,purple
青丝,qing1si1,"fine black hair; dried plum (sliced, as cake ingredient)"
青绿,qing1lu:45,lush green; dark green; turquoise
青翠,qing1cui4,fresh and green; verdant
青肿,qing1zhong3,bruise
青色,qing1se4,cyan; blue-green
青花,qing1hua1,blue and white (porcelain)
青苔,qing1tai2,moss; lichen
青荇,qing1xing4,waterlily; floating heart (nymphoides peltatum)
青草,qing1cao3,grass
青菜,qing1cai4,green vegetables; chinese cabbage
