的 de
了 le
财经 cai2jing1 "finance and economics"
财力 cai2li4 "financial resources; financial ability"
财务 cai2wu4 "financial affairs"
财政 cai2zheng4 "finances (public); financial"
财物 cai2wu4 "property; belongings"
发财 fa1cai2 "to get rich"
钱财 qian2cai2 "wealth; money"
运输 yun4shu1 "to transport; to carry; transportation"
输家 shu1jia5
输送 shu1song4 "to transport; to convey; to deliver"
输血 shu1xue4 "to transfuse blood; to give aid and support"
绝缘 jue2yuan2 "to have no contact with; to be cut off from; (electricity) to insulate"
人缘儿 ren2yuan2
无缘 wu2yuan2 "to have no opportunity; no way (of doing sth); no chance; no connection; not placed (in a competition); (in pop lyrics) no chance of love, no place to be together etc"
血缘 xue4yuan2 bloodline
缘分 yuan2fen5
贼 zei2 "thief; traitor; wily; deceitful; evil; extremely"
凯歌 kai3ge1 "triumphal hymn; victory song; paean"
砸 za2 "to smash; to pound; to fail; to muck up; to bungle"
宽泛 kuan1fan4 wide-ranging
品尝 pin3chang2 "to taste a small amount; to sample"
核 he2 "pit; stone; nucleus; nuclear; to examine; to check; to verify; to investigate"
核电站 he2dian4zhan4
核对 he2dui4 "to check; to verify; to audit; to examine"
核能 he2neng2 "nuclear energy"
核实 he2shi2 "to verify; to check"
核武器 he2wu3qi4
封锁 feng1suo3 "to blockade; to seal off; to lock down"
拉锁 la1suo3 zipper
连锁 lian2suo3 "to interlock; to be linked; chain (store etc)"
连锁店 lian2suo3dian4
锁定 suo3ding4 "to lock (a door); to close with a latch; to lock into place; a lock; a latch; to lock a computer file (to prevent it being overwritten); to lock (denying access to a computer system or device or files, e.g. by password-protection); to focus attention on; to target"
手帕 shou3pa4 handkerchief
尴尬 gan1ga4 "awkward; embarrassed"
枚 mei2 "classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc; tree trunk; whip"
发愣 fa1leng4 "to stare blankly; to be in a daze"
愣 leng4 "to look distracted; to stare blankly; distracted; blank; (coll.) unexpectedly; rash; rashly"
蛋白质 dan4bai2zhi4
完蛋 wan2dan4 "(coll.) to be done for"
炼 lian4 "to refine; to smelt"
提炼 ti2lian4 "to extract (ore, minerals etc); to refine; to purify; to process"
小提琴 xiao3ti2qin2
横向 heng2xiang4 "horizontal; orthogonal; perpendicular; lateral; crosswise"
横 heng2 "horizontal; across; crosswise; horizontal stroke (in chinese characters); to place (sth) flat (on a surface); to cross (a river, etc); in a jumble; chaotic; (in fixed expressions) harsh and unreasonable; violent"
宝贝 bao3bei4 "treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character"
钥匙 yao4shi5 key
锻炼 duan4lian4 "to toughen; to temper; to engage in physical exercise; to work out; (fig.) to develop one's skills; to train oneself"
麻醉 ma2zui4 "anesthesia; to anesthetize; (fig.) to corrupt (sb's mind); to enervate; to numb the mind (to escape from harsh reality)"
峰回路转 feng1hui2lu4zhuan3
高峰期 gao1feng1qi1
沉闷 chen2men4 "oppressive (of weather); heavy; depressed; not happy; (of sound) dull; muffled"
烦闷 fan2men4 "moody; gloomy"
闷 men4 "bored; depressed; melancholy; sealed; airtight; tightly closed"
纳闷儿 na4men4
清脆 qing1cui4 "sharp and clear; crisp; melodious; ringing; tinkling; silvery (of sound); fragile; frail"
伦理 lun2li3 ethics
敦厚 dun1hou4 "genuine; honest and sincere"
敦促 dun1cu4 "to press; to urge; to hasten"
提防 di1fang5 "to guard against; to be vigilant; watch you don't (slip)"
防护 fang2hu4 "to defend; to protect"
防火墙 fang2huo3qiang2
防卫 fang2wei4 "to defend; defensive; defense"
国防 guo2fang2 "national defense"
公寓 gong1yu4 "apartment building; block of flats"
寓言 yu4yan2 fable
寓意 yu4yi4 "moral (of a story); lesson to be learned; implication; message; import; metaphorical meaning"
火锅 huo3guo1 hotpot
根深蒂固 gen1shen1di4gu4
观摩 guan1mo2 "to observe and emulate; to study (esp. following sb's example)"
灌 guan4 "to irrigate; to pour; to install (software); to record (music)"
灌输 guan4shu1 "to imbue with; to inculcate; to instill into; to teach; to impart; to channel water to another place"
大同小异 da4tong2xiao3yi4
怪异 guai4yi4 "monstrous; strange; strange phenomenon"
奇花异草 qi2hua1yi4cao3
日新月异 ri4xin1yue4yi4
异想天开 yi4xiang3tian1kai1
异性 yi4xing4 "the opposite sex; of the opposite sex; heterosexual; different in nature"
异议 yi4yi4 "objection; dissent"
异口同声 yi4kou3tong2sheng1
因人而异 yin1ren2er2yi4
优异 you1yi4 "exceptional; outstandingly good"
结尾 jie2wei3 "ending; coda; to wind up"
尾声 wei3sheng1 "coda; epilogue; end"
尾气 wei3qi4 "exhaust; emissions"
追尾 zhui1wei3 "to tailgate; to hit the car in front as a result of tailgating"
聚会 ju4hui4 "party; gathering; to meet; to get together"
聚 ju4 "to congregate; to assemble; to mass; to gather together; to amass; to polymerize"
欢聚 huan1ju4 "to get together socially; to celebrate; party; celebration"
汇聚 hui4ju4 "convergence; to come together"
聚集 ju4ji2 "to assemble; to gather"
聚精会神 ju4jing1hui4shen2
团聚 tuan2ju4 "to reunite; to have a reunion"
长征 chang2zheng1 "expedition; long journey"
征 zheng1 "journey; trip; expedition; to go on long campaign; to attack; to invite; to recruit; to levy (taxes); to draft (troops); phenomenon; symptom; characteristic sign (used as proof); evidence"
征收 zheng1shou1 "to levy (a tax); to expropriate"
征集 zheng1ji2 "to collect; to recruit"
恐惧 kong3ju4 "to be frightened; fear; dread"
红润 hong2run4 "ruddy; rosy; florid"
润 run4 "moist; glossy; sleek; to moisten; to lubricate; to embellish; to enhance; profit; remuneration"
泰斗 tai4dou3 "doyen; revered authority"
掏钱 tao1qian2 "to pay; to spend money; to fork out"
凌晨 ling2chen2 "very early in the morning; in the wee hours"
祝 zhu4 "to wish; to express good wishes; to pray"
零食 ling2shi2 "between-meal nibbles; snacks"
孤零零 gu1ling2ling2
零花钱 ling2hua1qian2
零件 ling2jian4 "part; component"
零钱 ling2qian2 "change (of money); small change; pocket money"
零售 ling2shou4 "to retail; to sell individually or in small quantities"
嘿 hei1 hey
柳树 liu3shu4 willow
肩负 jian1fu4 "to shoulder (a burden); to bear; to suffer (a disadvantage)"
肩膀 jian1bang3 shoulder
淡 dan4 "insipid; diluted; weak; mild; light in color; tasteless; indifferent"
淡化 dan4hua4 "to water down; to play down; to trivialize; to weaken; to become dull with time; to desalinate; desalination"
冷淡 leng3dan4 "cold; indifferent"
平淡 ping2dan4 "flat; dull; ordinary; nothing special"
清淡 qing1dan4 "light (of food, not greasy or strongly flavored); insipid; slack (sales)"
吹捧 chui1peng3 "to flatter; to laud sb's accomplishments; adulation"
捧 peng3 "to clasp; to cup the hands; to hold up with both hands; to offer (esp. in cupped hands); to praise; to flatter"
捧场 peng3chang3 "to cheer on (originally esp. as paid stooge); to root for sb; to sing sb's praises; to flatter"
环绕 huan2rao4 "to surround; to circle; to revolve around"
绕行 rao4xing2 "to take a circular (or circuitous) route; to do a circuit; (of a planet) to orbit; (of a sailor) to circumnavigate; to take a detour; to bypass"
光碟 guang1die2 "optical disc; compact disc; cd; cd-rom"
前沿 qian2yan2 "front-line; forward position; outpost; extending ahead; frontier (of science, technology etc)"
沿线 yan2xian4 "along the line (e.g. railway); the region near the line"
匆匆 cong1cong1 hurriedly
匆忙 cong1mang2 "hasty; hurried"
嘉年华 jia1nian2hua2
腐败 fu3bai4 "corruption; to corrupt; to rot; rotten"
腐化 fu3hua4 "to rot; to decay; to become corrupt"
腐烂 fu3lan4 "to rot; to putrefy; (fig.) corrupt"
大公无私 da4gong1wu2si1
私房钱 si1fang5qian2
私家车 si1jia1che1
私立 si1li4 "private (company, school etc)"
私下 si1xia4 "in private"
私事 si1shi4 "personal matters"
私营 si1ying2 "privately-owned; private"
私有 si1you3 "private; privately-owned"
私自 si1zi4 "private; personal; secretly; without explicit approval"
无私 wu2si1 "selfless; unselfish; disinterested; altruistic"
自私自利 zi4si1zi4li4
自私 zi4si1 "selfish; selfishness"
拨 bo1 "to push aside with the hand, foot, a stick etc; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch"
拨款 bo1kuan3 "to allocate funds; appropriation"
拨通 bo1tong1 "to get through to sb on the phone"
炸 zha4 "to burst; to explode; to blow up; (fig.) to fly into a rage"
贵宾 gui4bin1 "honored guest; distinguished guest; vip"
来宾 lai2bin1 "laibin prefecture-level city in guangxi; guest; visitor"
幻觉 huan4jue2 "illusion; hallucination; figment of one's imagination"
幻影 huan4ying3 "phantom; mirage"
科幻 ke1huan4 "science fiction"
梦幻 meng4huan4 "dream; illusion; reverie"
关税 guan1shui4 "customs duty; tariff"
纳税 na4shui4 "to pay taxes"
纳税人 na4shui4ren2
税收 shui4shou1 taxation
税务 shui4wu4 "taxation services; state revenue service"
改邪归正 gai3xie2gui1zheng4
邪 xie2 "demonic; iniquitous; nefarious; evil; unhealthy influences that cause disease (chinese medicine); (coll.) strange; abnormal"
邪恶 xie2e4 "sinister; vicious; wicked; evil"
歌剧 ge1ju4 "western opera"
急剧 ji2ju4 "rapid; sudden"
加剧 jia1ju4 "to intensify"
剧烈 ju4lie4 "violent; acute; severe; fierce"
剧目 ju4mu4 "theatrical piece (play or opera); repertoire; list of plays or operas"
剧情 ju4qing2 "story line; plot; drama (genre)"
剧团 ju4tuan2 "theatrical troupe"
剧院 ju4yuan4 theater
剧组 ju4zu3 "cast and crew; performers and production team"
抹 mo3 "to smear; to wipe; to erase; classifier for wisps of cloud, light-beams etc"
挖苦 wa1ku5
寝室 qin3shi4 "bedroom; dormitory"
假冒 jia3mao4 "to impersonate; to pose as (someone else); to counterfeit; to palm off (a fake as a genuine)"
冒犯 mao4fan4 "to offend"
冒充 mao4chong1 "to feign; to pretend to be; to pass oneself off as"
冒险 mao4xian3 "to take risks; to take chances; foray; adventure"
浅 qian3 "shallow; light (color)"
开启 kai1qi3 "to open; to start; (computing) to enable"
启蒙 qi3meng2 "to instruct the young; to instruct the young; to initiate; to awake sb from ignorance; to free sb from prejudice or superstition; primer; enlightened; the enlightenment; western learning from the late qing dynasty"
启迪 qi3di2 "to edify; enlightenment"
启示 qi3shi4 "to reveal; to enlighten; enlightenment; revelation; illumination; moral (of a story etc); lesson"
说闲话 shuo1xian2hua4
发愤图强 fa1fen4tu2qiang2
气愤 qi4fen4 "indignant; furious"
蛮 man2 "barbarian; bullying; very; quite; rough; reckless"
野蛮 ye3man2 "barbarous; uncivilized"
羡慕 xian4mu4 "to envy; to admire"
聘用 pin4yong4 "to employ; to hire"
聘 pin4 "to engage (a teacher etc); to hire; to betroth; betrothal gift; to get married (of woman)"
聘任 pin4ren4 "to appoint (to a position); appointed"
应聘 ying4pin4 "to accept a job offer; to apply for an advertised position"
诸多 zhu1duo1 "(used for abstract things) a good deal, a lot of"
诸如此类 zhu1ru2ci3lei4
艳丽 yan4li4 "gorgeous; garish and beautiful"
胳膊 ge1bo5 arm
过剩 guo4sheng4 "to be excessive; to be more than is required"
剩余 sheng4yu2 "remainder; surplus"
涉嫌 she4xian2 "to be a suspect (in a crime); to be suspected of"
嫌弃 xian2qi4 "to regard with disdain; to shun"
嫌疑 xian2yi2 "suspicion; to have suspicions"
胡闹 hu2nao4 "to act willfully and make a scene; to make trouble"
胡说 hu2shuo1 "to talk nonsense; drivel"
胡思乱想 hu2si1luan4xiang3
尸体 shi1ti3 "dead body; corpse; carcass"
打雷 da3lei2 "to rumble with thunder; clap of thunder"
雷同 lei2tong2 "mirroring others; identical"
光滑 guang1hua5
滑冰 hua2bing1 "to skate; skating"
滑雪 hua2xue3 "to ski; skiing"
拼命 pin1ming4 "to do one's utmost; with all one's might; at all costs; (to work or fight) as if one's life depends on it"
撒 sa1 "to let go; to cast; to let loose; to discharge; to give expression to; (coll.) to pee"
子孙 zi3sun1 "offspring; posterity"
低谷 di1gu3 "valley; trough (as opposed to peaks); fig. low point; lowest ebb; nadir of one's fortunes"
瞪 deng4 "to open (one's eyes) wide; to stare at; to glare at"
目瞪口呆 mu4deng4kou3dai1
书籍 shu1ji2 "books; works"
外籍 wai4ji2 "foreign (i.e. of foreign nationality)"
祖籍 zu3ji2 "ancestral hometown; original domicile (and civil registration)"
灰 hui1 "ash; dust; lime; gray; discouraged; dejected"
灰心 hui1xin1 "to lose heart; to be discouraged"
湿润 shi1run4 moist
湿度 shi1du4 "humidity level"
浑身 hun2shen1 "all over; from head to foot"
均衡 jun1heng2 "equal; balanced; harmony; equilibrium"
权衡 quan2heng2 "to consider; to weigh (a matter); to balance (pros and cons)"
酷似 ku4si4 "to strikingly resemble"
冷酷 leng3ku4 "unfeeling; callous"
冷酷无情 leng3ku4wu2qing2
粗 cu1 "coarse; rough; thick (for cylindrical objects); unfinished; vulgar; rude; crude; remote; distant"
粗心 cu1xin1 "careless; thoughtless"
粗略 cu1lüe4 "rough (not precise or accurate); cursory"
粗心大意 cu1xin1da4yi4
欠缺 qian4que1 "to be deficient in; lapse; deficiency"
欠条 qian4tiao2 "iou; certificate of indebtedness"
拖欠 tuo1qian4 "in arrears; behind in payments; to default on one's debts"
笨 ben4 "stupid; foolish; silly; slow-witted; clumsy"
电铃 dian4ling2 "electric bell"
门铃 men2ling2 doorbell
趋势 qu1shi4 "trend; tendency"
趋于 qu1yu2 "to tend towards"
日趋 ri4qu1 "(increasing) day by day; (more critical) with every passing day; gradually"
耐 nai4 "(bound form) to bear; to endure; to withstand"
耐人寻味 nai4ren2xun2wei4
耐性 nai4xing4 patience
能耐 neng2nai5
忍耐 ren3nai4 "to endure; to bear with; to exercise patience; to restrain oneself; patience; endurance"
高傲 gao1ao4 "arrogant; haughty; proud"
纯 chun2 "pure; simple; unmixed; genuine"
纯净水 chun2jing4shui3
单纯 dan1chun2 "simple; pure; unsophisticated; merely; purely"
肥 fei2 "fat; fertile; loose-fitting or large; to fertilize; to become rich by illegal means; fertilizer; manure"
减肥 jian3fei2 "to lose weight"
肥料 fei2liao4 "fertilizer; manure"
肥胖 fei2pang4 "fat; obese"
化肥 hua4fei2 fertilizer
表扬 biao3yang2 "to praise; to commend"
得意扬扬 de2yi4yang2yang2
发扬 fa1yang2 "to develop; to make full use of"
发扬光大 fa1yang2guang1da4
宣扬 xuan1yang2 "to publicize; to advertise; to spread far and wide"
扬 yang2 "to raise; to hoist; the action of tossing or winnowing; scattering (in the wind); to flutter; to propagate"
张扬 zhang1yang2 "to display ostentatiously; to bring out into the open; to make public; to spread around; flamboyant; brash"
出洋相 chu1yang2xiang4
喜洋洋 xi3yang2yang2
心胸 xin1xiong1 "heart; mind; ambition; aspiration"
胸有成竹 xiong1you3cheng2zhu2
娶 qu3 "to take a wife; to marry (a woman)"
久仰 jiu3yang3 "honorific: i've long looked forward to meeting you.; it's an honor to meet you at last."
前仰后合 qian2yang3hou4he2
飘 piao1 "to float"
烤 kao3 "to roast; to bake; to broil"
烧烤 shao1kao3 "barbecue; to roast"
艰巨 jian1ju4 "arduous; terrible (task); very difficult; formidable"
艰苦奋斗 jian1ku3fen4dou4
艰险 jian1xian3 "difficult and dangerous; hardships and perils"
艰辛 jian1xin1 "hardships; arduous; difficult"
订单 ding4dan1 "(purchase) order"
订购 ding4gou4 "to place an order; to subscribe"
订婚 ding4hun1 "to get engaged"
订立 ding4li4 "to conclude (treaty, contract, agreement etc); to set up (a rule etc)"
修订 xiu1ding4 "to revise"
陷 xian4 "pitfall; trap; to get stuck; to sink; to cave in; to frame (false charge); to capture (a city in battle); to fall (to the enemy); defect"
礼仪 li3yi2 "etiquette; ceremony"
仪表 yi2biao3 "appearance; bearing; meter (i.e. measuring instrument)"
